feature,selectivity_A_minus_B
0,-0.0026154618
1,0.13370025
2,0.10431117
3,0.14034331
4,0.07064247
5,0.0879398
6,0.0011973381
7,0.032557577
8,-0.0043797493
9,-0.0057548406
10,-0.028465992
11,0.1703707
12,-0.12453061
13,0.21354026
14,-0.0041710245
15,0.0068775415
16,-0.0062925736
17,-0.01259535
18,0.15522641
19,0.043136686
20,0.022444457
21,-0.03111722
22,0.025659502
23,0.040224493
24,0.03678763
25,0.1375862
26,0.10417354
27,0.11411294
28,-0.030756295
29,0.05255705
30,0.07849628
31,0.08809084
32,0.05716586
33,0.013283074
34,0.123272836
35,0.11308995
36,0.18133703
37,0.065502405
38,0.1697492
39,0.1370196
40,0.09445858
41,-0.005124016
42,0.055603266
43,-0.007925954
44,-0.00076766964
45,-0.00295581
46,0.062304556
47,0.05277723
48,0.14597762
49,-0.0065406333
50,0.17851925
51,0.103933275
52,0.081780195
53,-0.0017449565
54,0.16681403
55,0.18240473
56,0.09534943
57,0.030888319
58,-0.006224159
59,0.15054572
60,0.14760017
61,0.026558414
62,0.09805733
63,0.3233562
64,-0.0014726883
65,0.06860006
66,0.017712831
67,0.0033994615
68,-0.003522406
69,-0.003721863
70,0.19576576
71,0.10913667
72,0.11680326
73,-0.013751074
74,0.17732191
75,0.26841557
76,0.09537688
77,0.03642875
78,0.05101061
79,0.08916497
80,0.1964778
81,0.25144428
82,0.1327722
83,-0.000898361
84,0.08577642
85,-0.014817569
86,0.20785055
87,0.05532205
88,0.047934026
89,0.15896884
90,-0.0049136765
91,-0.004346403
92,0.13321233
93,0.0013480783
94,0.19068766
95,-0.008290306
96,0.08681089
97,0.1916043
98,-0.002144605
99,0.10542059
100,0.12623554
101,0.059402794
102,0.01923734
103,-0.00761874
104,0.15703541
105,-0.006155412
106,0.103066266
107,0.18010774
108,0.19409767
109,0.14999455
110,-0.0014674518
111,0.045308948
112,-0.002929449
113,0.05638069
114,0.14974922
115,0.044988632
116,0.040189788
117,-0.019947413
118,0.06922996
119,0.16571537
120,0.17251104
121,-0.003630783
122,0.14107457
123,0.15126073
124,0.11170119
125,-0.00414971
126,0.10576233
127,-0.00093240675
128,-0.011354387
129,0.16645813
130,0.028854728
131,0.086180955
132,-0.0014242647
133,0.104305506
134,0.07083255
135,0.017102808
136,0.08509624
137,0.13360345
138,0.22832161
139,-0.0010046298
140,0.041055292
141,0.1871689
142,0.110194
143,0.21725458
144,-0.0028225966
145,0.11570004
146,0.1537717
147,0.18219918
148,0.09425557
149,-0.0020038586
150,0.095261246
151,0.12794
152,0.04789695
153,-0.0018721671
154,0.17363888
155,0.19167295
156,0.045644313
157,-0.0048797983
158,0.19026136
159,0.06196028
160,-0.0048492313
161,0.11626375
162,-0.008167148
163,0.04165101
164,0.20437318
165,0.04111576
166,0.11815506
167,-0.007921636
168,-0.005167032
169,0.04388523
170,0.10319474
171,-0.02540543
172,0.08666062
173,0.19147429
174,0.09091765
175,0.15654916
176,0.14834732
177,0.09744859
178,-0.004937668
179,0.19725865
180,0.33129734
181,-0.016415546
182,-0.04561323
183,0.2718063
184,0.23586518
185,0.12472299
186,0.046044886
187,0.13833791
188,0.11722794
189,0.09858829
190,-0.0058156233
191,-0.0034428495
192,0.027812421
193,0.20235285
194,0.15727043
195,0.119072795
196,0.0039241016
197,0.07163417
198,0.09076351
199,-0.01027292
200,0.089502156
201,0.07507518
202,0.08468266
203,0.106467485
204,0.09012461
205,0.22631735
206,0.03588265
207,0.11266196
208,0.09756395
209,0.1478014
210,0.11774883
211,0.19609344
212,-0.011705279
213,0.09492025
214,0.06237966
215,0.05344288
216,0.12957054
217,0.0765636
218,0.05595818
219,0.1121943
220,0.095589995
221,0.25137964
222,0.121120274
223,0.1252805
224,0.14981359
225,0.24269408
226,0.11139846
227,0.16823745
228,0.053304255
229,0.189738
230,-0.005557463
231,0.10981768
232,0.2924773
233,-0.0055046766
234,0.0544551
235,-0.008288587
236,0.03764376
237,0.05092588
238,-0.0022932407
239,0.11196768
240,0.17591089
241,0.14424747
242,0.22352746
243,-0.004507037
244,0.103925884
245,0.0556297
246,-0.028320193
247,-0.0043856427
248,0.19653884
249,-0.0030435987
250,0.08749664
251,0.09522098
252,0.058471322
253,0.24446583
254,0.027528882
255,-0.038377494
256,0.14740705
257,0.15330738
258,0.2015987
259,-0.0028344393
260,0.069001466
261,0.055200875
262,0.15059412
263,-0.008239716
264,0.14593905
265,0.17491648
266,0.07216132
267,0.077418655
268,0.055410534
269,0.14601895
270,-0.015103201
271,-0.04324627
272,0.033043444
273,0.17551443
274,0.06832594
275,0.06872076
276,-0.0043505514
277,0.0052018464
278,0.16891593
279,0.17774782
280,-0.002670155
281,0.15998933
282,0.21566412
283,0.070774645
284,-0.00048086158
285,0.09240036
286,0.040317595
287,-0.019194594
288,0.046922237
289,0.005281031
290,0.0013743341
291,0.123702735
292,0.07368386
293,0.07669777
294,0.052167773
295,0.1740146
296,0.12496376
297,0.10644406
298,0.2755455
299,0.08582544
300,0.017360091
301,0.15587795
302,0.13918844
303,0.11386642
304,-0.009663728
305,0.064148426
306,-0.0073323958
307,0.03173974
308,-0.0031371403
309,0.12737402
310,0.07751155
311,0.053471327
312,0.19672811
313,0.0024459362
314,-0.00038036704
315,0.07023397
316,0.061091483
317,0.123533905
318,-0.018740486
319,0.10244909
320,-0.0038945596
321,-0.021138284
322,0.053819746
323,0.25414786
324,0.077661514
325,0.042244732
326,0.14475381
327,0.056640625
328,0.042741895
329,-0.00044352107
330,0.14855695
331,0.05736792
332,0.19934502
333,0.09658569
334,0.22312713
335,0.105707675
336,0.07278097
337,-0.005839793
338,-0.0059715062
339,0.058858216
340,0.088227436
341,0.084180474
342,-0.0045847516
343,0.092035174
344,0.17556962
345,0.18149501
346,0.11363864
347,0.10531008
348,0.06303394
349,0.00652647
350,0.27374893
351,0.10686472
352,-0.00085906225
353,0.090832084
354,0.24434245
355,0.0931077
356,0.13861775
357,0.019061267
358,-0.002050729
359,-0.06988633
360,-0.0015845206
361,0.041201264
362,0.17286494
363,-0.11537355
364,0.1436615
365,0.01776424
366,-0.012773931
367,0.08603072
368,0.1542033
369,0.069603026
370,0.026322901
371,0.16704324
372,0.032476872
373,0.15886495
374,0.16786799
375,-0.0065344987
376,0.13688266
377,-0.008664459
378,0.02455777
379,0.21228704
380,0.09350288
381,0.23059651
382,0.05199644
383,0.1645751
384,0.21972138
385,0.053214192
386,0.06103289
387,0.118114024
388,0.16256273
389,0.1880663
390,0.08059758
391,0.046274662
392,0.11242318
393,0.012296498
394,0.031022727
395,0.076152086
396,0.021998167
397,0.116464615
398,-0.0021752263
399,-0.0187137
400,0.14466277
401,0.23997232
402,0.062330693
403,-0.0046109194
404,0.03577605
405,-0.00016224384
406,0.21823889
407,0.12301448
408,0.041309446
409,0.01831165
410,0.06089908
411,0.003637433
412,0.27970284
413,-0.0023224063
414,0.08028135
415,0.13768992
416,0.09689441
417,-0.011697412
418,0.18634069
419,0.14546761
420,0.16287103
421,0.12459028
422,0.06890774
423,0.17774469
424,0.053961158
425,0.045728326
426,0.06432533
427,0.1433759
428,-0.00014224648
429,0.01870367
430,-0.017879985
431,0.0038503855
432,0.14665592
433,0.055438668
434,0.29164732
435,0.08764553
436,0.09029609
437,-0.005673768
438,-0.0062763616
439,0.13281533
440,-0.008787013
441,0.013243914
442,0.07942659
443,0.059007406
444,0.093462825
445,-0.015965862
446,0.070862174
447,0.016979396
448,0.023493439
449,0.2062226
450,-0.005384882
451,-0.0131890755
452,0.117919
453,-0.01188033
454,0.18757287
455,0.1579096
456,-0.0033630435
457,-0.0038354546
458,0.12254682
459,0.06510648
460,0.14769223
461,-0.028543187
462,0.061416566
463,0.07661724
464,-0.011417743
465,0.114568144
466,0.028975666
467,0.12786525
468,-0.023093522
469,0.1561664
470,0.06354827
471,0.12602021
472,-0.008089556
473,0.07474989
474,-0.010351032
475,0.13373679
476,0.12884778
477,0.20940298
478,0.15243876
479,-0.005120594
480,-0.024574995
481,0.07697858
482,0.19843322
483,0.14043185
484,0.15171024
485,0.09445381
486,0.08082345
487,-0.0043683895
488,0.119267344
489,0.24934259
490,0.10532713
491,0.14834937
492,-0.004601371
493,0.1453915
494,0.14742988
495,0.06603709
496,0.08080304
497,-0.0073120287
498,0.12605098
499,-0.0037732068
500,-0.008022368
501,0.013188899
502,5.1202936e-05
503,-0.0055258125
504,-0.004157121
505,0.18799779
506,-0.09301448
507,0.15361336
508,0.1709733
509,0.04234746
510,0.09855604
511,0.084991276
512,0.23108122
513,-0.013995111
514,-0.13057238
515,0.04247585
516,0.12316996
517,0.070684195
518,0.1228351
519,-0.006332326
520,-0.004562384
521,0.022750556
522,-0.0014620842
523,0.15829524
524,0.18391004
525,0.1386531
526,0.09558451
527,-0.011030264
528,0.07089077
529,0.17013669
530,-0.0022415794
531,0.06004566
532,0.03561032
533,0.13871655
534,0.12190175
535,0.08577055
536,0.17244443
537,0.174025
538,0.095225036
539,0.09534624
540,0.18564704
541,0.028160691
542,0.05776629
543,-0.0054426845
544,0.1768626
545,-0.018940248
546,0.03664452
547,0.027964592
548,0.099363685
549,-0.007844061
550,0.0761444
551,0.10108602
552,0.075906724
553,0.042568356
554,0.15793908
555,0.16350377
556,0.17735308
557,0.14764461
558,0.055529714
559,0.14805755
560,0.21196249
561,-0.0056817834
562,0.15426338
563,-0.0010792944
564,0.021400422
565,0.13878983
566,-0.014348805
567,0.10572961
568,-0.006547928
569,0.04592496
570,-0.026382864
571,-0.06900066
572,0.23750329
573,-0.005160887
574,-0.048047632
575,0.15534696
576,0.17278326
577,0.036528587
578,-0.00031828243
579,0.013365626
580,0.14063618
581,0.20651573
582,0.089223176
583,0.3181514
584,0.16605613
585,0.10626741
586,0.16667095
587,-0.0051965755
588,0.12255356
589,0.22224644
590,0.041789085
591,0.12805319
592,0.07007024
593,0.13649702
594,0.10238299
595,0.087509185
596,0.120418966
597,0.0543741
598,0.03230807
599,-0.0047273636
600,0.2936185
601,0.31422874
602,0.14505434
603,0.015264481
604,0.10256678
605,0.054203555
606,-0.07078037
607,-0.025682688
608,-0.00073223456
609,0.0903818
610,0.06451392
611,0.03930044
612,0.056307644
613,0.04736477
614,0.040313542
615,0.13442749
616,0.09444487
617,0.044007987
618,0.16865012
619,0.06563541
620,0.039741427
621,0.094569206
622,0.07335889
623,-0.0014378536
624,0.13740396
625,-0.050901033
626,-0.019363403
627,0.018976629
628,0.14347243
629,0.10798025
630,0.053741515
631,0.08076921
632,0.03308654
633,0.18154493
634,0.044964314
635,0.17981249
636,0.08331111
637,0.1129995
638,-0.0038040867
639,0.09577063
640,-0.00040318584
641,0.19894615
642,-0.003334837
643,0.078778684
644,-0.0009963934
645,0.18541443
646,0.11924401
647,0.25416705
648,0.20821983
649,0.12314898
650,0.08494097
651,-0.022463322
652,0.2986552
653,0.047850966
654,0.08983615
655,-0.0028190252
656,-0.013778899
657,0.19874585
658,-0.005602961
659,0.14527848
660,0.20901924
661,0.027292997
662,-0.013869452
663,0.1304578
664,0.10741109
665,0.19124094
666,0.1585933
667,0.1044741
668,0.23534551
669,0.13721663
670,0.07212943
671,0.062520504
672,0.20330402
673,0.15050444
674,-0.005861922
675,0.039452165
676,-0.0057494543
677,0.28512165
678,0.19509903
679,-0.035878897
680,0.12641275
681,-0.003946339
682,0.09590739
683,0.13456127
684,0.019459426
685,-0.057616055
686,0.01939112
687,-0.021196295
688,-0.0012131385
689,-0.006798096
690,0.13425049
691,0.17698643
692,0.06961942
693,0.088300586
694,0.09469032
695,0.18081212
696,-0.0026752762
697,0.08955923
698,0.1596637
699,0.10403949
700,0.06266174
701,0.057648093
702,0.09463605
703,0.18325001
704,0.114691496
705,0.050260544
706,0.1311596
707,0.06370771
708,-0.007188239
709,0.23487279
710,0.18116325
711,0.051020086
712,0.068553984
713,0.15822825
714,-0.1221447
715,0.0020117462
716,0.03983313
717,0.10822117
718,0.10630128
719,0.07031047
720,0.045835197
721,0.17725056
722,-0.005141349
723,0.29666534
724,0.10557157
725,-0.008398413
726,0.05464843
727,-0.003917098
728,0.1662612
729,-0.007487774
730,0.13247472
731,0.09185034
732,0.08578843
733,0.029984951
734,0.21625435
735,0.04143846
736,0.20690942
737,0.24868053
738,0.084729314
739,-0.0017902304
740,0.08713478
741,0.2327204
742,0.094267726
743,0.040475845
744,0.02615112
745,-0.0022886395
746,0.15892512
747,0.2787714
748,0.050119996
749,-0.0055120843
750,0.15054113
751,0.1025514
752,0.24238151
753,0.13199595
754,0.20703715
755,0.058954895
756,0.0625208
757,0.12307173
758,0.23851198
759,-0.0068177213
760,-0.0060800533
761,0.04009652
762,-0.0027075915
763,0.09014058
764,-0.024203083
765,0.037269026
766,0.14918977
767,0.16095793
